t,x1,y1,z1,x2,y2,z2,dx,dy,dz,cal_x,cal_y,cal_z
1759749885.8174827,7096.61,-6697.54,769.8,-19.23,-22.84,35.82,7115.839999999999,-6720.38,805.62,7115.839999999999,-6720.38,805.62
1759749885.9103682,7096.61,-6698.75,771.5,-19.23,-22.84,36.3,7115.839999999999,-6721.59,807.8,7115.839999999999,-6721.59,807.8
1759749885.977888,7094.2,-6696.34,772.46,-19.23,-24.04,36.06,7113.429999999999,-6720.38,808.52,7113.429999999999,-6720.38,808.52
1759749886.0374463,7094.2,-6696.34,769.56,-19.23,-22.84,35.09,7113.429999999999,-6719.18,804.65,7113.429999999999,-6719.18,804.65
1759749886.1185045,7095.41,-6696.34,771.5,-19.23,-22.84,35.82,7114.639999999999,-6719.18,807.32,7114.639999999999,-6719.18,807.32
1759749886.197347,7095.41,-6697.54,773.67,-19.23,-22.84,35.82,7114.639999999999,-6720.38,809.49,7114.639999999999,-6720.38,809.49
1759749886.3170247,7094.2,-6695.14,769.32,-19.23,-22.84,35.09,7113.429999999999,-6717.9800000000005,804.4100000000001,7113.429999999999,-6717.9800000000005,804.4100000000001
1759749886.357238,7095.41,-6696.34,769.8,-19.23,-22.84,35.33,7114.639999999999,-6719.18,805.13,7114.639999999999,-6719.18,805.13
1759749886.4394944,7097.81,-6697.54,772.46,-20.43,-21.64,35.09,7118.240000000001,-6719.18,807.5500000000001,7118.240000000001,-6719.18,807.5500000000001
1759749886.5000587,7094.2,-6693.94,769.08,-21.64,-22.84,36.78,7115.84,-6716.78,805.86,7115.84,-6716.78,805.86
1759749886.5776706,7096.61,-6695.14,769.56,-20.43,-22.84,34.85,7117.04,-6717.9800000000005,804.41,7117.04,-6717.9800000000005,804.41
1759749886.657219,7094.2,-6693.94,771.98,-19.23,-22.84,37.03,7113.429999999999,-6716.78,809.01,7113.429999999999,-6716.78,809.01
1759749886.7382884,7096.61,-6695.14,768.35,-19.23,-22.84,33.88,7115.839999999999,-6717.9800000000005,802.23,7115.839999999999,-6717.9800000000005,802.23
1759749886.8583155,7094.2,-6693.94,770.53,-19.23,-24.04,35.57,7113.429999999999,-6717.98,806.1,7113.429999999999,-6717.98,806.1
1759749886.917556,7095.41,-6696.34,772.71,-19.23,-22.84,36.3,7114.639999999999,-6719.18,809.01,7114.639999999999,-6719.18,809.01
