t,x1,y1,z1,x2,y2,z2,dx,dy,dz,cal_x,cal_y,cal_z
1759751859.1913047,5037.58,-1940.03,183.44,-37.26,63.71,38.96,5074.84,-1876.32,222.4,5074.84,-1876.32,222.4
1759751859.2901385,5033.98,-1937.62,180.29,-36.06,61.3,37.99,5070.04,-1876.32,218.28,5070.04,-1876.32,218.28
1759751859.3696709,5033.98,-1937.62,181.26,-36.06,62.5,38.96,5070.04,-1875.12,220.22,5070.04,-1875.12,220.22
1759751859.4303904,5033.98,-1937.62,177.87,-37.26,62.5,38.72,5071.24,-1875.12,216.59,5071.24,-1875.12,216.59
1759751859.5109663,5032.77,-1937.62,180.77,-36.06,62.5,38.72,5068.830000000001,-1875.12,219.49,5068.830000000001,-1875.12,219.49
1759751859.5706773,5033.98,-1937.62,178.11,-37.26,61.3,38.48,5071.24,-1876.32,216.59,5071.24,-1876.32,216.59
1759751859.6706305,5032.77,-1937.62,177.87,-36.06,61.3,36.78,5068.830000000001,-1876.32,214.65,5068.830000000001,-1876.32,214.65
1759751859.7309287,5033.98,-1936.42,179.08,-37.26,62.5,37.99,5071.24,-1873.92,217.07000000000002,5071.24,-1873.92,217.07000000000002
1759751859.8105729,5033.98,-1936.42,177.63,-36.06,62.5,37.03,5070.04,-1873.92,214.66,5070.04,-1873.92,214.66
1759751859.89123,5031.57,-1936.42,177.39,-37.26,61.3,35.09,5068.83,-1875.1200000000001,212.48,5068.83,-1875.1200000000001,212.48
1759751859.970885,5035.18,-1936.42,178.35,-37.26,61.3,38.24,5072.4400000000005,-1875.1200000000001,216.59,5072.4400000000005,-1875.1200000000001,216.59
1759751860.030966,5033.98,-1935.22,174.24,-37.26,62.5,35.82,5071.24,-1872.72,210.06,5071.24,-1872.72,210.06
1759751860.1308563,5031.57,-1935.22,173.03,-37.26,63.71,36.54,5068.83,-1871.51,209.57,5068.83,-1871.51,209.57
1759751860.1902995,5032.77,-1934.02,175.45,-37.26,62.5,37.99,5070.030000000001,-1871.52,213.44,5070.030000000001,-1871.52,213.44
1759751860.2823474,5030.37,-1934.02,172.06,-37.26,61.3,37.51,5067.63,-1872.72,209.57,5067.63,-1872.72,209.57
1759751860.3701015,5030.37,-1934.02,171.82,-37.26,62.5,36.78,5067.63,-1871.52,208.6,5067.63,-1871.52,208.6
1759751860.4304645,5030.37,-1932.82,172.06,-36.06,62.5,38.96,5066.43,-1870.32,211.02,5066.43,-1870.32,211.02
1759751860.5515714,5031.57,-1932.82,173.03,-37.26,62.5,39.45,5068.83,-1870.32,212.48000000000002,5068.83,-1870.32,212.48000000000002
1759751860.6105247,5031.57,-1932.82,171.34,-37.26,63.71,37.99,5068.83,-1869.11,209.33,5068.83,-1869.11,209.33
1759751860.6706545,5029.17,-1931.61,171.09,-37.26,62.5,37.51,5066.43,-1869.11,208.6,5066.43,-1869.11,208.6
1759751860.7303889,5030.37,-1932.82,171.34,-37.26,63.71,38.24,5067.63,-1869.11,209.58,5067.63,-1869.11,209.58
1759751860.8503208,5029.17,-1932.82,161.41,-36.06,62.5,35.09,5065.2300000000005,-1870.32,196.5,5065.2300000000005,-1870.32,196.5
1759751860.9110963,5026.76,-1931.61,167.22,-36.06,62.5,37.99,5062.820000000001,-1869.11,205.21,5062.820000000001,-1869.11,205.21
1759751860.970642,5029.17,-1930.41,167.71,-37.26,62.5,37.03,5066.43,-1867.91,204.74,5066.43,-1867.91,204.74
1759751861.0906153,5027.97,-1931.61,169.16,-36.06,62.5,37.51,5064.030000000001,-1869.11,206.67,5064.030000000001,-1869.11,206.67
1759751861.1512232,5029.17,-1930.41,164.08,-37.26,62.5,36.78,5066.43,-1867.91,200.86,5066.43,-1867.91,200.86
1759751861.2104647,5027.97,-1928.01,164.32,-36.06,63.71,37.03,5064.030000000001,-1864.3,201.35,5064.030000000001,-1864.3,201.35
1759751861.2711437,5026.76,-1929.21,166.74,-36.06,62.5,37.99,5062.820000000001,-1866.71,204.73000000000002,5062.820000000001,-1866.71,204.73000000000002
1759751861.390645,5027.97,-1929.21,162.62,-37.26,62.5,37.27,5065.2300000000005,-1866.71,199.89000000000001,5065.2300000000005,-1866.71,199.89000000000001
1759751861.4507449,5029.17,-1928.01,164.56,-37.26,63.71,36.54,5066.43,-1864.3,201.1,5066.43,-1864.3,201.1
1759751861.510787,5026.76,-1929.21,163.59,-37.26,62.5,36.06,5064.02,-1866.71,199.65,5064.02,-1866.71,199.65
1759751861.5706327,5027.97,-1929.21,162.87,-37.26,62.5,38.48,5065.2300000000005,-1866.71,201.35,5065.2300000000005,-1866.71,201.35
1759751861.69062,5024.36,-1926.81,161.17,-36.06,62.5,37.51,5060.42,-1864.31,198.67999999999998,5060.42,-1864.31,198.67999999999998
1759751861.750674,5026.76,-1928.01,163.83,-37.26,62.5,36.78,5064.02,-1865.51,200.61,5064.02,-1865.51,200.61
1759751861.8700004,5024.36,-1926.81,158.27,-37.26,62.5,39.2,5061.62,-1864.31,197.47000000000003,5061.62,-1864.31,197.47000000000003
1759751861.9305747,5025.56,-1926.81,156.09,-37.26,62.5,36.3,5062.820000000001,-1864.31,192.39,5062.820000000001,-1864.31,192.39
1759751861.990499,5026.76,-1926.81,156.33,-36.06,63.71,37.99,5062.820000000001,-1863.1,194.32000000000002,5062.820000000001,-1863.1,194.32000000000002
1759751862.1101336,5023.16,-1925.6,158.03,-36.06,62.5,38.96,5059.22,-1863.1,196.99,5059.22,-1863.1,196.99
1759751862.1707895,5024.36,-1925.6,154.4,-37.26,62.5,37.75,5061.62,-1863.1,192.15,5061.62,-1863.1,192.15
1759751862.2307491,5024.36,-1925.6,157.54,-37.26,63.71,37.99,5061.62,-1861.8899999999999,195.53,5061.62,-1861.8899999999999,195.53
1759751862.290717,5023.16,-1924.4,157.06,-37.26,63.71,36.78,5060.42,-1860.69,193.84,5060.42,-1860.69,193.84
1759751862.3512042,5024.36,-1924.4,154.88,-36.06,63.71,36.78,5060.42,-1860.69,191.66,5060.42,-1860.69,191.66
1759751862.4700682,5021.96,-1925.6,153.19,-37.26,62.5,38.24,5059.22,-1863.1,191.43,5059.22,-1863.1,191.43
1759751862.5898678,5020.75,-1923.2,151.25,-37.26,61.3,35.82,5058.01,-1861.9,187.07,5058.01,-1861.9,187.07
1759751862.5908716,5020.75,-1923.2,151.01,-37.26,62.5,36.78,5058.01,-1860.7,187.79,5058.01,-1860.7,187.79
1759751862.650992,5021.96,-1923.2,151.98,-38.46,62.5,38.96,5060.42,-1860.7,190.94,5060.42,-1860.7,190.94
1759751862.7706182,5023.16,-1923.2,149.8,-37.26,63.71,37.51,5060.42,-1859.49,187.31,5060.42,-1859.49,187.31
1759751862.8297138,5020.75,-1922.0,148.35,-36.06,62.5,37.03,5056.81,-1859.5,185.38,5056.81,-1859.5,185.38
1759751862.8905451,5020.75,-1922.0,141.81,-37.26,62.5,38.96,5058.01,-1859.5,180.77,5058.01,-1859.5,180.77
1759751863.010161,5020.75,-1922.0,146.17,-37.26,62.5,37.51,5058.01,-1859.5,183.67999999999998,5058.01,-1859.5,183.67999999999998
1759751863.069916,5020.75,-1922.0,149.8,-37.26,63.71,36.06,5058.01,-1858.29,185.86,5058.01,-1858.29,185.86
1759751863.1303725,5019.55,-1922.0,151.01,-36.06,62.5,39.45,5055.610000000001,-1859.5,190.45999999999998,5055.610000000001,-1859.5,190.45999999999998
1759751863.1902797,5019.55,-1922.0,144.72,-37.26,63.71,38.24,5056.81,-1858.29,182.96,5056.81,-1858.29,182.96
